"","speaker","plays","count_speaker","count_plays"
"254","notarius","Den stundesløse Komedie i 3 akter, Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter, Henrik og Pernille Komedie i 3 akter, Mester Gert Westphaler eller Den meget talende barber Komedie i 1 akt, Pernilles korte frøkenstand Komedie i 3 akter",42,5
"255","novatianus","Republikken eller Det gemene bedste Komedie i 3 akter",20,1
"256","octavius","Husspøgelse eller Abracadabra Komedie i 3 akter uden aktricer",25,1
"257","officeren","Barselsstuen Komedie, Det lykkelige skibbrud Komedie i 5 akter, Diderich Menschenskræk Komedie i 1 akt, Jacob von Tyboe eller Den stortalende soldat Komedie",182,4
"258","ohngeldt","Republikken eller Det gemene bedste Komedie i 3 akter",8,1
"259","oldfux","Den stundesløse Komedie i 3 akter, Det arabiske pulver Komedie, Det lykkelige skibbrud Komedie i 5 akter, Melampe Tragikomedie",188,4
"260","øllegård","Barselsstuen Komedie, Den vægelsindede Komedie, Ulysses von Ithacia eller En tysk komedie",31,3
"261","ovidius","Uden hoved og hale Komedie",98,1
"262","pagen","Det lykkelige skibbrud Komedie i 5 akter",1,1
"263","palæstrio","Plutus eller Proces imellem fattigdom og rigdom En heroisk komedie i 5 akter",26,1
"264","pallas","Ulysses von Ithacia eller En tysk komedie",3,1
"265","pandolfus","Melampe Tragikomedie",7,1
"266","paris","Ulysses von Ithacia eller En tysk komedie",18,1
"267","peder","Den stundesløse Komedie i 3 akter",5,1
"268","pedro","Don Ranudo de Colibrados eller Fattigdom og hoffærdighed Komedie i 5 akter, Melampe Tragikomedie",144,2
